order_id,customer_name,region,revenue,load_timestamp
ORD-1001,Acme Corp,West,1250.00,2026-08-03T08:15:00Z
ORD-1002,Bramble Inc,East,430.50,2026-08-03T09:02:00Z
ORD-1003,Coral Systems,South,980.00,2026-08-02T22:40:00Z
ORD-1004,Delta Freight,North,675.25,2026-08-03T07:11:00Z
ORD-1005,Echo Retail,West,210.00,2026-08-03T10:30:00Z
ORD-1006,Foxglove Media,,340.00,2026-08-02T19:05:00Z
ORD-1007,Granite Logistics,East,-150.00,2026-08-03T06:45:00Z
ORD-1008,Harbor Goods,South,1420.75,2026-07-31T14:20:00Z
ORD-1009,Ironwood Supply,North,560.00,2026-08-03T11:00:00Z
ORD-1010,Juniper Trade,West,890.40,2026-08-03T05:55:00Z
ORD-1010,Juniper Trade,West,890.40,2026-08-03T05:55:00Z
ORD-1011,Kestrel Works,East,730.10,2026-08-03T12:10:00Z
